r_seed=1,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8938743073,    1.7594900340,    1.7606041218,    1.9721456847,    0.9989918211,    0.9978494772,    0.9702689945,    0.9992270806,    0.9979124209,    0.9987249802,    0.9979209150,    0.9974543072,    0.9988159531,    0.9983612662,  
Time[fs],  44.008000,  52.613000,  57.067000,  44.059000,   8.171000,   8.773000,   7.989000,   7.876000,   8.437000,   8.327000,   7.888000,   7.944000,   8.749000,   7.786000,  
Charge Sum,   17.3416413638, 
X Velocity[A/fs],  -0.190010,  -0.106674,   0.098179,   0.191270,  -0.143657,  -0.440018,  -0.993873,  -0.144443,  -0.552639,   0.536729,   0.153555,   0.160070,   0.490500,   1.013176,  
Y Velocity[A/fs],  -0.128011,   0.156755,   0.144371,  -0.131286,  -1.001025,  -0.223215,  -0.098125,   0.271655,   0.943033,   0.949744,   0.256799,  -1.018779,  -0.185857,  -0.079938, 
Z Velocity[A/fs],   0.044882,  -0.124881,   0.131864,  -0.053745,  -0.256652,   0.948293,  -0.301685,  -1.045746,   0.077968,  -0.114600,   1.045099,   0.252028,  -0.946548,   0.325939,  
Speed[A/fs],   0.233463,   0.227039,   0.218793,   0.238136,   1.043340,   1.068971,   1.043277,   1.090067,   1.095810,   1.096916,   1.087086,   1.061626,   1.082168,   1.067310,  
 
r_seed=2,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8938743073,    1.7594900340,    1.7606041218,    1.9721456847,    0.9989918211,    0.9978494772,    0.9702689945,    0.9992270806,    0.9979124209,    0.9987249802,    0.9979209150,    0.9974543072,    0.9988159531,    0.9983612662,  
Time[fs],  43.670000,  55.653000,  53.649000,  46.766000,   8.061000,   8.746000,   7.972000,   7.844000,   8.587000,   8.453000,   7.967000,   7.969000,   8.869000,   7.797000,  
Charge Sum,   17.3416413638, 
X Velocity[A/fs],  -0.193094,  -0.103251,   0.101070,   0.181069,  -0.135521,  -0.465404,  -1.000798,  -0.128312,  -0.564195,   0.546493,   0.168857,   0.188007,   0.508400,   1.015094,  
Y Velocity[A/fs],  -0.129052,   0.148612,   0.155418,  -0.147103,  -1.014844,  -0.226776,  -0.105635,   0.243242,   0.927496,   0.941605,   0.258363,  -1.023260,  -0.212760,  -0.073338, 
Z Velocity[A/fs],   0.038969,  -0.132659,   0.121242,  -0.031339,  -0.215015,   0.944463,  -0.262212,  -1.052012,   0.125230,  -0.122320,   1.040520,   0.243092,  -0.932778,   0.315860,  
Speed[A/fs],   0.235495,   0.224376,   0.221517,   0.235388,   1.046186,   1.077051,   1.039957,   1.087364,   1.092816,   1.095553,   1.085333,   1.068411,   1.083426,   1.065628,  
 
r_seed=3,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8938743073,    1.7594900340,    1.7606041218,    1.9721456847,    0.9989918211,    0.9978494772,    0.9702689945,    0.9992270806,    0.9979124209,    0.9987249802,    0.9979209150,    0.9974543072,    0.9988159531,    0.9983612662,  
Time[fs],  43.812000,  55.894000,  54.123000,  43.914000,   8.199000,   8.752000,   8.124000,   7.851000,   8.552000,   8.430000,   7.917000,   8.103000,   8.641000,   7.817000,  
Charge Sum,   17.3416413638, 
X Velocity[A/fs],  -0.193310,  -0.103873,   0.109243,   0.191675,  -0.154765,  -0.494738,  -0.986492,  -0.148624,  -0.582118,   0.563578,   0.137631,   0.134922,   0.490515,   1.016519,  
Y Velocity[A/fs],  -0.126342,   0.149124,   0.153436,  -0.141201,  -0.993577,  -0.231990,  -0.085712,   0.236888,   0.926384,   0.940354,   0.255107,  -1.003864,  -0.179710,  -0.066144, 
Z Velocity[A/fs],   0.047628,  -0.117735,   0.118225,  -0.042756,  -0.306178,   0.936594,  -0.309464,  -1.047213,   0.093480,  -0.061237,   1.044476,   0.319153,  -0.950902,   0.308369,  
Speed[A/fs],   0.235795,   0.216539,   0.222382,   0.241879,   1.051139,   1.084340,   1.037440,   1.083909,   1.098083,   1.098015,   1.083952,   1.061982,   1.084950,   1.064320,  
 
r_seed=4,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8938743073,    1.7594900340,    1.7606041218,    1.9721456847,    0.9989918211,    0.9978494772,    0.9702689945,    0.9992270806,    0.9979124209,    0.9987249802,    0.9979209150,    0.9974543072,    0.9988159531,    0.9983612662,  
Time[fs],  43.330000,  59.890000,  53.842000,  43.902000,   8.024000,   8.731000,   8.034000,   7.833000,   8.228000,   8.368000,   7.926000,   8.035000,   8.527000,   7.813000,  
Charge Sum,   17.3416413638, 
X Velocity[A/fs],  -0.194050,  -0.109573,   0.106110,   0.191437,  -0.138485,  -0.443381,  -0.991711,  -0.140860,  -0.500538,   0.534811,   0.142007,   0.174012,   0.445841,   1.017682,  
Y Velocity[A/fs],  -0.131068,   0.137872,   0.154382,  -0.140930,  -1.013235,  -0.169472,  -0.141708,   0.242041,   0.962606,   0.947605,   0.236289,  -1.009663,  -0.179054,  -0.033701, 
Z Velocity[A/fs],   0.049881,  -0.129530,   0.108453,  -0.050656,  -0.249055,   0.954445,  -0.287666,  -1.051276,   0.091791,  -0.139426,   1.042864,   0.292380,  -0.970211,   0.303406,  
Speed[A/fs],   0.239421,   0.218616,   0.216460,   0.243054,   1.052546,   1.065961,   1.042268,   1.087937,   1.088841,   1.097004,   1.078686,   1.065451,   1.082656,   1.062482,  
 
r_seed=5,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8938743073,    1.7594900340,    1.7606041218,    1.9721456847,    0.9989918211,    0.9978494772,    0.9702689945,    0.9992270806,    0.9979124209,    0.9987249802,    0.9979209150,    0.9974543072,    0.9988159531,    0.9983612662,  
Time[fs],  44.618000,  53.226000,  52.869000,  47.291000,   7.982000,   8.831000,   8.033000,   7.891000,   8.169000,   8.464000,   7.917000,   7.891000,   8.825000,   7.877000,  
Charge Sum,   17.3416413638, 
X Velocity[A/fs],  -0.188898,  -0.099928,   0.108026,   0.178519,  -0.157614,  -0.502164,  -0.993201,  -0.169785,  -0.498226,   0.553785,   0.104044,   0.172593,   0.509020,   1.009400,  
Y Velocity[A/fs],  -0.126075,   0.155286,   0.156715,  -0.145504,  -1.016696,  -0.148360,  -0.086862,   0.239927,   0.969974,   0.944136,   0.226323,  -1.024072,  -0.189852,  -0.070809, 
Z Velocity[A/fs],   0.038305,  -0.129534,   0.122960,  -0.043704,  -0.208267,   0.936920,  -0.290225,  -1.048431,   0.097479,  -0.081558,   1.050926,   0.245498,  -0.938069,   0.318289,  
Speed[A/fs],   0.230314,   0.225562,   0.226601,   0.234415,   1.049708,   1.073312,   1.038375,   1.088852,   1.094797,   1.097598,   1.080043,   1.067137,   1.084029,   1.060759,  
 
r_seed=6,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8938743073,    1.7594900340,    1.7606041218,    1.9721456847,    0.9989918211,    0.9978494772,    0.9702689945,    0.9992270806,    0.9979124209,    0.9987249802,    0.9979209150,    0.9974543072,    0.9988159531,    0.9983612662,  
Time[fs],  43.383000,  57.672000,  53.058000,  45.775000,   8.012000,   8.761000,   7.990000,   7.929000,   8.301000,   8.382000,   7.759000,   8.107000,   8.691000,   7.840000,  
Charge Sum,   17.3416413638, 
X Velocity[A/fs],  -0.193770,  -0.104455,   0.100375,   0.183827,  -0.158304,  -0.472271,  -0.992585,  -0.110552,  -0.516318,   0.535405,   0.147828,   0.165555,   0.471498,   1.011606,  
Y Velocity[A/fs],  -0.125677,   0.142723,   0.155726,  -0.136487,  -1.013597,  -0.148604,  -0.047211,   0.269389,   0.957054,   0.948744,   0.203327,  -1.007440,  -0.236448,  -0.096389, 
Z Velocity[A/fs],   0.055864,  -0.131223,   0.128951,  -0.049288,  -0.223957,   0.950473,  -0.310359,  -1.043666,   0.111327,  -0.097541,   1.060041,   0.284170,  -0.948831,   0.315496,  
Speed[A/fs],   0.237618,   0.220228,   0.225731,   0.234201,   1.050045,   1.071691,   1.041045,   1.083527,   1.093129,   1.093749,   1.089441,   1.059763,   1.085586,   1.064037,  
 
r_seed=7,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8938743073,    1.7594900340,    1.7606041218,    1.9721456847,    0.9989918211,    0.9978494772,    0.9702689945,    0.9992270806,    0.9979124209,    0.9987249802,    0.9979209150,    0.9974543072,    0.9988159531,    0.9983612662,  
Time[fs],  44.599000,  59.371000,  52.562000,  44.088000,   8.066000,   8.744000,   7.966000,   7.977000,   8.396000,   8.313000,   7.868000,   7.932000,   8.686000,   7.720000,  
Charge Sum,   17.3416413638, 
X Velocity[A/fs],  -0.188203,  -0.103541,   0.103986,   0.191466,  -0.155373,  -0.478722,  -0.999132,  -0.166078,  -0.536035,   0.509998,   0.130429,   0.135473,   0.422700,   1.028267,  
Y Velocity[A/fs],  -0.137059,   0.138445,   0.158765,  -0.142819,  -1.003448,  -0.157988,  -0.047884,   0.269602,   0.945171,   0.961399,   0.211379,  -1.015920,  -0.218334,  -0.067118, 
Z Velocity[A/fs],   0.045806,  -0.131522,   0.115977,  -0.027140,  -0.304642,   0.946837,  -0.282981,  -1.040219,   0.117632,  -0.084199,   1.052742,   0.310245,  -0.957725,   0.264571,  
Speed[A/fs],   0.237284,   0.217224,   0.222419,   0.240403,   1.060120,   1.072677,   1.039536,   1.087347,   1.092940,   1.091548,   1.081646,   1.070840,   1.069384,   1.063877,  
 
r_seed=8,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8938743073,    1.7594900340,    1.7606041218,    1.9721456847,    0.9989918211,    0.9978494772,    0.9702689945,    0.9992270806,    0.9979124209,    0.9987249802,    0.9979209150,    0.9974543072,    0.9988159531,    0.9983612662,  
Time[fs],  45.183000,  56.163000,  56.894000,  45.435000,   8.053000,   8.802000,   7.919000,   7.973000,   8.313000,   8.327000,   7.844000,   7.827000,   8.542000,   7.778000,  
Charge Sum,   17.3416413638, 
X Velocity[A/fs],  -0.186090,  -0.109273,   0.107568,   0.184801,  -0.175386,  -0.500538,  -1.000121,  -0.164014,  -0.514498,   0.519166,   0.169440,   0.171494,   0.428547,   1.021627,  
Y Velocity[A/fs],  -0.141785,   0.148206,   0.145354,  -0.150477,  -1.009921,  -0.152724,  -0.073237,   0.283293,   0.957130,   0.953997,   0.211591,  -1.028411,  -0.144790,  -0.073635, 
Z Velocity[A/fs],   0.038175,  -0.117996,   0.121861,  -0.047747,  -0.250813,   0.937377,  -0.286275,  -1.037329,   0.079718,  -0.091729,   1.049729,   0.261537,  -0.973199,   0.275039,  
Speed[A/fs],   0.237044,   0.218698,   0.218057,   0.243053,   1.055276,   1.073563,   1.042861,   1.087753,   1.089569,   1.089980,   1.084164,   1.074914,   1.073188,   1.060561,  
 
r_seed=9,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8938743073,    1.7594900340,    1.7606041218,    1.9721456847,    0.9989918211,    0.9978494772,    0.9702689945,    0.9992270806,    0.9979124209,    0.9987249802,    0.9979209150,    0.9974543072,    0.9988159531,    0.9983612662,  
Time[fs],  44.947000,  54.512000,  56.002000,  46.119000,   8.181000,   8.650000,   8.060000,   7.815000,   8.492000,   8.480000,   7.815000,   7.912000,   8.739000,   7.835000,  
Charge Sum,   17.3416413638, 
X Velocity[A/fs],  -0.186385,  -0.106579,   0.105389,   0.183103,  -0.154028,  -0.453053,  -0.994225,  -0.166312,  -0.554467,   0.555963,   0.148441,   0.183076,   0.460933,   1.017303,  
Y Velocity[A/fs],  -0.130495,   0.151254,   0.148443,  -0.143436,  -0.996500,  -0.191884,  -0.076902,   0.188287,   0.933895,   0.934053,   0.202206,  -1.022819,  -0.227024,  -0.068878, 
Z Velocity[A/fs],   0.058965,  -0.127516,   0.123643,  -0.051918,  -0.304498,   0.956879,  -0.280593,  -1.055639,   0.131215,  -0.149390,   1.053292,   0.264856,  -0.951684,   0.289042,  
Speed[A/fs],   0.235043,   0.224715,   0.220068,   0.238319,   1.053308,   1.075962,   1.035920,   1.085120,   1.093988,   1.097209,   1.082749,   1.072299,   1.081527,   1.059809,  
 
r_seed=10,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8938743073,    1.7594900340,    1.7606041218,    1.9721456847,    0.9989918211,    0.9978494772,    0.9702689945,    0.9992270806,    0.9979124209,    0.9987249802,    0.9979209150,    0.9974543072,    0.9988159531,    0.9983612662,  
Time[fs],  44.868000,  55.676000,  57.765000,  44.889000,   8.114000,   8.864000,   7.972000,   7.810000,   8.490000,   8.309000,   7.934000,   7.894000,   8.681000,   7.770000,  
Charge Sum,   17.3416413638, 
X Velocity[A/fs],  -0.187162,  -0.113487,   0.094825,   0.187930,  -0.158059,  -0.491390,  -0.995610,  -0.111279,  -0.558530,   0.539046,   0.098393,   0.152976,   0.474552,   1.019468,  
Y Velocity[A/fs],  -0.136083,   0.148659,   0.144267,  -0.149846,  -1.002950,  -0.197641,  -0.091529,   0.271391,   0.935825,   0.947649,   0.232124,  -1.029782,  -0.173598,  -0.076331, 
Z Velocity[A/fs],   0.046761,  -0.135440,   0.116484,  -0.029310,  -0.285878,   0.936070,  -0.299353,  -1.050629,   0.100506,  -0.068621,   1.046583,   0.236761,  -0.950481,   0.292274,  
Speed[A/fs],   0.236082,   0.230917,   0.208262,   0.242137,   1.054807,   1.075525,   1.043661,   1.090806,   1.094452,   1.092391,   1.076521,   1.067665,   1.076453,   1.063281,  
 
r_seed=11,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8938743073,    1.7594900340,    1.7606041218,    1.9721456847,    0.9989918211,    0.9978494772,    0.9702689945,    0.9992270806,    0.9979124209,    0.9987249802,    0.9979209150,    0.9974543072,    0.9988159531,    0.9983612662,  
Time[fs],  43.395000,  56.725000,  56.680000,  43.666000,   8.152000,   8.664000,   8.027000,   7.792000,   8.353000,   8.408000,   7.911000,   7.886000,   8.753000,   7.793000,  
Charge Sum,   17.3416413638, 
X Velocity[A/fs],  -0.193588,  -0.099503,   0.099330,   0.192557,  -0.162191,  -0.437530,  -0.993553,  -0.139588,  -0.549980,   0.544316,   0.090958,   0.133322,   0.495083,   1.023173,  
Y Velocity[A/fs],  -0.129198,   0.145987,   0.145761,  -0.137346,  -0.998033,  -0.201995,  -0.133376,   0.219228,   0.942351,   0.945453,   0.225317,  -1.028933,  -0.188551,  -0.062336, 
Z Velocity[A/fs],   0.040710,  -0.130134,   0.133413,  -0.043887,  -0.297599,   0.955159,  -0.289039,  -1.054195,   0.104168,  -0.065251,   1.051829,   0.224457,  -0.945441,   0.282473,  
Speed[A/fs],   0.236274,   0.219426,   0.221160,   0.240558,   1.054012,   1.069843,   1.043303,   1.085759,   1.096063,   1.092894,   1.079530,   1.061536,   1.083752,   1.063278,  
 
r_seed=12,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8938743073,    1.7594900340,    1.7606041218,    1.9721456847,    0.9989918211,    0.9978494772,    0.9702689945,    0.9992270806,    0.9979124209,    0.9987249802,    0.9979209150,    0.9974543072,    0.9988159531,    0.9983612662,  
Time[fs],  45.068000,  54.859000,  55.711000,  44.954000,   8.082000,   8.770000,   8.185000,   7.823000,   8.352000,   8.338000,   7.829000,   8.033000,   8.689000,   7.851000,  
Charge Sum,   17.3416413638, 
X Velocity[A/fs],  -0.186199,  -0.106101,   0.098735,   0.188443,  -0.164949,  -0.478751,  -0.983007,  -0.127939,  -0.536838,   0.531371,   0.081790,   0.155294,   0.482426,   1.008184,  
Y Velocity[A/fs],  -0.127698,   0.149994,   0.148824,  -0.134429,  -1.005911,  -0.209753,  -0.055146,   0.214838,   0.949610,   0.955055,   0.245012,  -1.016804,  -0.164562,  -0.079279, 
Z Velocity[A/fs],   0.058120,  -0.135707,   0.126494,  -0.054331,  -0.277886,   0.943964,  -0.319858,  -1.057651,   0.104770,  -0.041379,   1.053444,   0.232448,  -0.954803,   0.326600,  
Speed[A/fs],   0.233141,   0.228412,   0.218856,   0.237768,   1.056544,   1.079012,   1.035206,   1.086807,   1.095870,   1.093708,   1.084650,   1.054532,   1.082342,   1.062727,  
 
r_seed=13,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8938743073,    1.7594900340,    1.7606041218,    1.9721456847,    0.9989918211,    0.9978494772,    0.9702689945,    0.9992270806,    0.9979124209,    0.9987249802,    0.9979209150,    0.9974543072,    0.9988159531,    0.9983612662,  
Time[fs],  45.460000,  54.838000,  54.911000,  45.694000,   8.097000,   8.807000,   7.921000,   7.897000,   8.242000,   8.294000,   7.790000,   7.997000,   8.806000,   7.830000,  
Charge Sum,   17.3416413638, 
X Velocity[A/fs],  -0.184952,  -0.103247,   0.105775,   0.184307,  -0.156545,  -0.509489,  -1.005412,  -0.167409,  -0.512155,   0.527497,   0.120029,   0.194455,   0.506383,   1.011119,  
Y Velocity[A/fs],  -0.132777,   0.150933,   0.150984,  -0.143193,  -1.001277,  -0.208139,  -0.069137,   0.247794,   0.960819,   0.952583,   0.213929,  -1.017563,  -0.179576,  -0.095404, 
Z Velocity[A/fs],   0.045830,  -0.126174,   0.128265,  -0.043886,  -0.290641,   0.931269,  -0.241348,  -1.044797,   0.070433,  -0.109050,   1.055589,   0.253328,  -0.939536,   0.327097,  
Speed[A/fs],   0.232244,   0.222172,   0.224580,   0.237486,   1.054293,   1.081741,   1.036283,   1.086751,   1.091071,   1.094330,   1.083716,   1.066500,   1.082312,   1.066984,  
 
r_seed=14,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8938743073,    1.7594900340,    1.7606041218,    1.9721456847,    0.9989918211,    0.9978494772,    0.9702689945,    0.9992270806,    0.9979124209,    0.9987249802,    0.9979209150,    0.9974543072,    0.9988159531,    0.9983612662,  
Time[fs],  43.265000,  58.438000,  54.315000,  43.486000,   8.002000,   8.813000,   8.017000,   7.904000,   8.376000,   8.403000,   7.789000,   8.006000,   8.745000,   7.935000,  
Charge Sum,   17.3416413638, 
X Velocity[A/fs],  -0.194621,  -0.100989,   0.098449,   0.194263,  -0.167961,  -0.456875,  -0.994900,  -0.128107,  -0.528813,   0.542400,   0.118804,   0.129379,   0.468509,   1.006542,  
Y Velocity[A/fs],  -0.127324,   0.141289,   0.152939,  -0.133892,  -1.010894,  -0.223605,  -0.092233,   0.240520,   0.945531,   0.945871,   0.306142,  -1.013678,  -0.234409,  -0.062611, 
Z Velocity[A/fs],   0.041238,  -0.137326,   0.122860,  -0.043751,  -0.266759,   0.940187,  -0.294549,  -1.050149,   0.132489,  -0.104086,   1.045339,   0.264351,  -0.947991,   0.329026,  
Speed[A/fs],   0.236197,   0.221404,   0.219493,   0.239957,   1.058904,   1.068964,   1.041677,   1.084930,   1.091432,   1.095310,   1.095706,   1.055540,   1.083114,   1.060804,  
 
r_seed=15,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8938743073,    1.7594900340,    1.7606041218,    1.9721456847,    0.9989918211,    0.9978494772,    0.9702689945,    0.9992270806,    0.9979124209,    0.9987249802,    0.9979209150,    0.9974543072,    0.9988159531,    0.9983612662,  
Time[fs],  44.389000,  56.948000,  54.620000,  46.401000,   8.019000,   8.646000,   8.193000,   7.904000,   8.399000,   8.221000,   7.905000,   7.996000,   8.717000,   7.980000,  
Charge Sum,   17.3416413638, 
X Velocity[A/fs],  -0.189591,  -0.107534,   0.107401,   0.181387,  -0.169043,  -0.473684,  -0.974244,  -0.159803,  -0.545474,   0.511554,   0.123344,   0.149162,   0.481967,   0.997606,  
Y Velocity[A/fs],  -0.126627,   0.145245,   0.151581,  -0.142452,  -1.009408,  -0.220225,  -0.106491,   0.204908,   0.943894,   0.963201,   0.295643,  -1.018736,  -0.184050,  -0.065864, 
Z Velocity[A/fs],   0.063382,  -0.127130,   0.122568,  -0.058414,  -0.263899,   0.948973,  -0.348511,  -1.050280,   0.093832,  -0.089770,   1.040190,   0.243102,  -0.952501,   0.348454,  
Speed[A/fs],   0.236636,   0.220957,   0.222563,   0.237920,   1.056940,   1.083248,   1.040169,   1.081949,   1.094204,   1.094304,   1.088400,   1.057909,   1.083247,   1.058761,  
 
r_seed=16,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8938743073,    1.7594900340,    1.7606041218,    1.9721456847,    0.9989918211,    0.9978494772,    0.9702689945,    0.9992270806,    0.9979124209,    0.9987249802,    0.9979209150,    0.9974543072,    0.9988159531,    0.9983612662,  
Time[fs],  44.579000,  56.889000,  54.314000,  45.598000,   7.976000,   8.738000,   7.946000,   7.940000,   8.518000,   8.302000,   7.930000,   7.925000,   8.790000,   7.789000,  
Charge Sum,   17.3416413638, 
X Velocity[A/fs],  -0.187342,  -0.108675,   0.094592,   0.185567,  -0.165867,  -0.441227,  -1.000702,  -0.130831,  -0.560016,   0.515726,   0.128369,   0.165568,   0.513103,   1.016179,  
Y Velocity[A/fs],  -0.142781,   0.144616,   0.152604,  -0.136316,  -1.014818,  -0.239535,  -0.055903,   0.258927,   0.930045,   0.957641,   0.295847,  -1.023240,  -0.199389,  -0.063753, 
Z Velocity[A/fs],   0.039030,  -0.130024,   0.129440,  -0.041918,  -0.264001,   0.947264,  -0.278814,  -1.043847,   0.144043,  -0.098570,   1.039923,   0.218813,  -0.936923,   0.299927,  
Speed[A/fs],   0.238760,   0.222779,   0.221337,   0.234040,   1.061633,   1.072086,   1.040321,   1.083409,   1.095148,   1.092138,   1.088781,   1.059392,   1.086672,   1.061433,  
 
r_seed=17,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8938743073,    1.7594900340,    1.7606041218,    1.9721456847,    0.9989918211,    0.9978494772,    0.9702689945,    0.9992270806,    0.9979124209,    0.9987249802,    0.9979209150,    0.9974543072,    0.9988159531,    0.9983612662,  
Time[fs],  44.582000,  57.535000,  52.280000,  45.333000,   8.146000,   8.757000,   7.957000,   7.800000,   8.570000,   8.413000,   7.902000,   8.045000,   8.581000,   7.885000,  
Charge Sum,   17.3416413638, 
X Velocity[A/fs],  -0.188547,  -0.098109,   0.114696,   0.185257,  -0.160383,  -0.489421,  -0.996755,  -0.128206,  -0.558426,   0.551974,   0.154679,   0.139277,   0.503167,   1.009044,  
