isoxazole_14r10, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.990948365504114, 3.966045622696687, 2.565898110230238, 2.581097211648704, 2.469544629290281, 0.0001218956639685299, 0.0002887417997071465, 0.0002029207367764871, 
Time[fs], 91.000000, 91.000000, 91.000000, 77.000000, 83.000000, 31.500000, 31.000000, 31.500000, 
Density Sum, 16.57414749757048,,,,,,,,
X Velocity[A/fs],-0.100468,-0.112929,0.032128,0.189610,0.016861,0.125307,0.773728,0.117012,
Y Velocity[A/fs],0.047031,-0.080321,-0.136555,-0.010456,0.161003,-0.737188,0.006402,0.750732,
Z Velocity[A/fs],-0.002014,0.005877,0.002543,0.004695,0.002953,-0.024258,-0.008867,-0.067705,
Speed[A/fs],0.110949,0.138705,0.140306,0.189957,0.161911,0.748156,0.773805,0.762807,
,,,,,,,,,
isoxazole_14r11, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.781553069198958, 3.935658731402002, 2.598724578088826, 2.479563909601981, 2.605107130776837, 8.90373606894623e-05, 0.0002131782301141217, 0.0001249461647510648, 
Time[fs], 90.500000, 90.500000, 85.500000, 80.000000, 79.000000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.40103458082416,,,,,,,,
X Velocity[A/fs],-0.102882,-0.109542,0.029324,0.181022,0.030999,0.096604,0.764692,0.106556,
Y Velocity[A/fs],0.050060,-0.084390,-0.150476,-0.000591,0.165964,-0.752717,0.071622,0.743689,
Z Velocity[A/fs],0.004689,0.004113,-0.002410,0.001535,-0.010201,0.082320,-0.002618,-0.124284,
Speed[A/fs],0.114511,0.138341,0.153326,0.181030,0.169142,0.763343,0.768043,0.761494,
,,,,,,,,,
isoxazole_14r12, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.971583489416827, 3.83610945336289, 2.709375762692488, 2.323478158194821, 2.52912098161294, 0.0002086319635563958, 0.0004012240275380633, 0.0001369378181441266, 
Time[fs], 91.000000, 91.000000, 85.000000, 77.500000, 77.500000, 31.000000, 31.000000, 30.500000, 
Density Sum, 16.3704146390892,,,,,,,,
X Velocity[A/fs],-0.106588,-0.105962,0.034345,0.190101,0.001177,0.146820,0.761891,0.079661,
Y Velocity[A/fs],-0.037084,-0.092679,-0.150837,0.011409,0.172848,-0.748491,0.009967,0.740249,
Z Velocity[A/fs],0.004230,0.002529,0.002037,-0.000141,-0.003347,-0.059478,-0.043213,-0.023336,
Speed[A/fs],0.112934,0.140797,0.154711,0.190443,0.172884,0.765070,0.763180,0.744889,
,,,,,,,,,
isoxazole_14r13, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.865430366553544, 3.88814252003905, 2.57412281404803, 2.444893571249853, 2.565858401501242, 0.0001056720941281925, 0.0003516452974964984, 0.0001674846408941997, 
Time[fs], 91.000000, 91.000000, 90.000000, 78.000000, 77.500000, 31.500000, 31.000000, 31.000000, 
Density Sum, 16.33907247542424,,,,,,,,
X Velocity[A/fs],-0.109354,-0.113994,0.036659,0.188496,0.017327,0.236748,0.769969,0.164590,
Y Velocity[A/fs],0.052220,-0.094258,-0.140005,0.003809,0.173156,-0.719842,0.036548,0.740516,
Z Velocity[A/fs],0.001493,-0.000017,0.000910,0.006668,0.002609,0.055290,0.007811,-0.009377,
Speed[A/fs],0.121192,0.147916,0.144728,0.188653,0.174040,0.759789,0.770875,0.758645,
,,,,,,,,,
isoxazole_14r14, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.824494093457097, 3.970362043037559, 2.784419967237403, 2.545546312688953, 2.433411271115886, 8.287680447374916e-05, 0.0002045698216644917, 0.0002243872862722083, 
Time[fs], 90.000000, 90.000000, 87.500000, 83.000000, 75.500000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.55874552144931,,,,,,,,
X Velocity[A/fs],-0.103048,-0.097885,0.026854,0.170415,0.003016,0.103067,0.762405,0.091445,
Y Velocity[A/fs],0.053291,-0.083380,-0.144801,-0.002667,0.179882,-0.749419,0.054262,0.737336,
Z Velocity[A/fs],-0.002677,-0.007528,0.000692,0.000402,0.003403,-0.070147,0.015495,0.057604,
Speed[A/fs],0.116043,0.128804,0.147271,0.170436,0.179940,0.759719,0.764491,0.745215,
,,,,,,,,,
isoxazole_14r15, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.893046294603232, 4.128488305243926, 2.672239770636295, 2.279755932285891, 2.463037789673357, 0.0001012262420993495, 0.0002225861132098338, 0.0001845754169792827, 
Time[fs], 90.500000, 90.500000, 84.000000, 79.500000, 72.000000, 31.500000, 31.000000, 31.500000, 
Density Sum, 16.43707648021499,,,,,,,,
X Velocity[A/fs],-0.100323,-0.099377,0.026529,0.182717,0.006558,0.134636,0.767193,0.150067,
Y Velocity[A/fs],-0.009227,-0.092545,-0.152828,0.002510,0.189497,-0.742584,0.049758,0.743566,
Z Velocity[A/fs],-0.005031,-0.002083,0.000326,0.000947,-0.000313,0.011000,-0.023097,0.016367,
Speed[A/fs],0.100872,0.135812,0.155113,0.182737,0.189611,0.754771,0.769151,0.758735,
,,,,,,,,,
isoxazole_14r16, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 5.370319953826352, 3.811795497981376, 2.509196044874943, 2.455058082383548, 2.446322189094938, 0.0001367100560673238, 0.0003266033330294545, 0.0001805029791164039, 
Time[fs], 90.000000, 90.000000, 87.000000, 79.000000, 79.000000, 31.500000, 31.000000, 31.500000, 
Density Sum, 16.59333558452937,,,,,,,,
X Velocity[A/fs],-0.065303,-0.118646,0.021746,0.184838,0.014955,0.128708,0.758751,0.083274,
Y Velocity[A/fs],-0.007437,-0.098367,-0.146201,0.013346,0.171228,-0.735413,0.040872,0.755834,
Z Velocity[A/fs],-0.000436,0.005161,0.001317,0.003136,0.003058,0.029030,0.050047,0.046503,
Speed[A/fs],0.065727,0.154206,0.147815,0.185346,0.171907,0.747155,0.761497,0.761828,
,,,,,,,,,
isoxazole_14r17, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.892383032349071, 3.906157640477089, 2.67261562294654, 2.430890620971263, 2.364429780219263, 9.377914189890544e-05, 0.0001729510662453231, 8.9789648598748e-05, 
Time[fs], 102.000000, 102.000000, 89.000000, 76.500000, 77.000000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.26683321681997,,,,,,,,
X Velocity[A/fs],-0.112218,-0.104407,0.000886,0.193286,0.016330,0.193290,0.766255,0.063481,
Y Velocity[A/fs],-0.029485,-0.091530,-0.142407,0.009337,0.177215,-0.736329,0.062238,0.749688,
Z Velocity[A/fs],-0.000501,-0.002963,0.002321,-0.001082,-0.004031,0.044138,-0.037826,-0.104417,
Speed[A/fs],0.116028,0.138879,0.142429,0.193515,0.178012,0.762554,0.769709,0.759582,
,,,,,,,,,
isoxazole_14r18, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.829239396748132, 3.989152563218277, 2.549037973500107, 2.533616850399321, 2.387849457985261, 0.0001876434845329181, 0.0002544775193479204, 0.000114209710041149, 
Time[fs], 103.000000, 103.000000, 88.000000, 79.500000, 74.000000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.28945257256502,,,,,,,,
X Velocity[A/fs],-0.104356,-0.107896,0.033840,0.182857,0.026161,0.179809,0.765596,0.104363,
Y Velocity[A/fs],0.047278,-0.088135,-0.144432,0.008549,0.184653,-0.740425,0.043964,0.744979,
Z Velocity[A/fs],-0.003628,0.003480,-0.003495,0.000506,-0.003537,0.054579,0.055579,-0.070182,
Speed[A/fs],0.114624,0.139360,0.148385,0.183058,0.186530,0.763898,0.768868,0.755520,
,,,,,,,,,
isoxazole_14r19, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.736121604585681, 3.772015194612476, 2.650217677296605, 2.395983738938819, 2.649350982790236, 0.0001701086846135902, 0.0006213500737095299, 0.0002673943644770259, 
Time[fs], 101.500000, 101.500000, 87.000000, 78.000000, 76.000000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.20474805134662,,,,,,,,
X Velocity[A/fs],-0.101730,-0.118493,0.034894,0.188408,0.005573,0.126803,0.769171,0.159279,
Y Velocity[A/fs],0.053566,-0.084660,-0.146572,0.004411,0.174200,-0.755402,0.026110,0.739531,
Z Velocity[A/fs],-0.002325,-0.002140,0.002714,0.003675,0.005575,-0.030532,-0.010302,-0.061642,
Speed[A/fs],0.114995,0.145645,0.150692,0.188495,0.174379,0.766579,0.769683,0.758996,
,,,,,,,,,
isoxazole_14r20, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.911266041918601, 3.806301346612569, 2.608120991428847, 2.478415459264602, 2.592843253293036, 0.0001247587396162116, 0.0002699113357521718, 0.0001860986571007593, 
Time[fs], 101.500000, 101.500000, 86.000000, 77.500000, 80.500000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.39752786125012,,,,,,,,
X Velocity[A/fs],-0.101581,-0.110940,0.044939,0.188894,0.008225,0.148821,0.766146,0.096776,
Y Velocity[A/fs],0.033130,-0.089284,-0.148840,0.018855,0.164862,-0.738755,0.068015,0.752485,
Z Velocity[A/fs],0.000462,0.003550,0.003425,0.005130,-0.000122,0.020676,0.008408,-0.037871,
Speed[A/fs],0.106848,0.142449,0.155514,0.189902,0.165067,0.753880,0.769205,0.759628,
,,,,,,,,,
isoxazole_14r21, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.815029809807893, 3.85344182548889, 2.644427433485256, 2.619095734537518, 2.460963732139252, 0.00012472243821481, 0.0003534772025975873, 8.431691541938314e-05, 
Time[fs], 82.000000, 82.000000, 82.000000, 81.500000, 75.500000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.39352105201504,,,,,,,,
X Velocity[A/fs],-0.107901,-0.108119,0.035910,0.176301,0.029786,0.123192,0.768251,0.082666,
Y Velocity[A/fs],0.059553,-0.083724,-0.148224,0.005911,0.178276,-0.752812,0.028443,0.754106,
Z Velocity[A/fs],-0.000130,-0.002925,-0.004519,0.003377,-0.005384,-0.061502,0.051890,0.013760,
Speed[A/fs],0.123244,0.136777,0.152578,0.176432,0.180827,0.765300,0.770527,0.758748,
,,,,,,,,,
isoxazole_14r22, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.610732882416657, 4.023277965932414, 2.63768616026246, 2.415231224706524, 2.420802065256942, 0.0001237314376128749, 0.0004381515981918745, 0.0001736982828708113, 
Time[fs], 82.000000, 82.000000, 79.500000, 76.000000, 72.000000, 31.000000, 31.000000, 30.500000, 
Density Sum, 16.10846587989367,,,,,,,,
X Velocity[A/fs],-0.127593,-0.105587,0.044581,0.192111,0.026624,0.098422,0.775458,0.163133,
Y Velocity[A/fs],0.007101,-0.094731,-0.164924,0.003667,0.187885,-0.751067,0.039909,0.761745,
Z Velocity[A/fs],-0.001262,-0.001298,0.000555,0.001718,0.003769,0.006992,0.043549,0.078848,
Speed[A/fs],0.127797,0.141860,0.170844,0.192154,0.189800,0.757521,0.777704,0.782998,
,,,,,,,,,
isoxazole_14r23, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.855753560024985, 3.767515405086947, 2.644359650998988, 2.423641231065565, 2.593250808661225, 0.0001178195622754756, 0.0001332991616769207, 9.869657130216679e-05, 
Time[fs], 80.500000, 80.500000, 80.500000, 77.500000, 77.500000, 31.000000, 31.500000, 31.000000, 
Density Sum, 16.28487047113297,,,,,,,,
X Velocity[A/fs],-0.106506,-0.115823,0.039554,0.188481,0.017763,0.235886,0.763829,0.141041,
Y Velocity[A/fs],0.056137,-0.095736,-0.155095,0.000601,0.171553,-0.722501,0.073606,0.745877,
Z Velocity[A/fs],0.004217,0.003541,-0.001383,-0.003261,0.004070,0.004291,-0.047159,0.043535,
Speed[A/fs],0.120468,0.150309,0.160065,0.188510,0.172519,0.760045,0.768815,0.760342,
,,,,,,,,,
isoxazole_14r24, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.877225340902264, 4.072953303742197, 2.608453277942542, 2.527553183594157, 2.42980665764811, 0.0001906093699105101, 0.0003914092415270748, 0.0002564628169567445, 
Time[fs], 82.000000, 82.000000, 82.000000, 79.000000, 75.500000, 31.000000, 31.000000, 31.500000, 
Density Sum, 16.51683024525766,,,,,,,,
X Velocity[A/fs],-0.112042,-0.100228,0.033930,0.182359,0.012625,0.087944,0.769019,0.077801,
Y Velocity[A/fs],-0.040126,-0.081072,-0.153366,0.008471,0.179483,-0.742644,0.063903,0.742617,
Z Velocity[A/fs],0.004413,-0.004139,0.000307,-0.004536,0.004531,-0.069182,-0.018179,0.052450,
Speed[A/fs],0.119093,0.128979,0.157075,0.182612,0.179984,0.751026,0.771884,0.748521,
,,,,,,,,,
isoxazole_14r25, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 5.177290916955385, 3.920625066198423, 2.623119275883873, 2.529268192457033, 2.352561050829651, 0.0001828583710697752, 0.000237298706139143, 0.0001238374333778902, 
Time[fs], 85.500000, 85.500000, 85.500000, 79.000000, 77.000000, 31.500000, 31.000000, 31.000000, 
Density Sum, 16.60340849683495,,,,,,,,
X Velocity[A/fs],-0.075848,-0.120007,0.032840,0.185081,0.032822,0.168585,0.760877,0.044163,
Y Velocity[A/fs],-0.005781,-0.110018,-0.138795,0.000877,0.177777,-0.720579,0.079031,0.754309,
Z Velocity[A/fs],-0.000975,-0.001370,0.000251,0.001163,-0.001750,0.038501,0.010885,0.056233,
Speed[A/fs],0.076074,0.162812,0.142628,0.185087,0.180790,0.741038,0.765048,0.757690,
,,,,,,,,,
isoxazole_14r26, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.899531382041835, 3.847885491699292, 2.62689233446557, 2.601327227370968, 2.591244298350656, 0.0001365781176487899, 0.0003835667337360017, 9.040128172992811e-05, 
Time[fs], 85.500000, 85.500000, 85.500000, 78.500000, 82.500000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.56749128006144,,,,,,,,
X Velocity[A/fs],-0.103507,-0.111271,0.033369,0.184513,0.038136,0.084565,0.766516,0.040583,
Y Velocity[A/fs],-0.043095,-0.085883,-0.144316,0.014461,0.159277,-0.739158,0.053478,0.750642,
Z Velocity[A/fs],0.001538,-0.002330,-0.009346,0.004555,0.009855,-0.056164,-0.004246,0.062789,
Speed[A/fs],0.112130,0.140580,0.148419,0.185135,0.164075,0.746097,0.768391,0.754355,
,,,,,,,,,
isoxazole_14r27, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.939981766918153, 3.751390175240989, 2.523756369052538, 2.532051947670967, 2.711713303179403, 0.0001193845356209578, 0.0003458982688114983, 0.0001152609890368916, 
Time[fs], 84.500000, 84.500000, 84.500000, 78.500000, 83.000000, 31.500000, 31.000000, 31.000000, 
Density Sum, 16.45947410585552,,,,,,,,
X Velocity[A/fs],-0.101291,-0.123419,0.040346,0.187236,0.031991,0.209643,0.759830,0.038689,
Y Velocity[A/fs],0.042534,-0.094602,-0.147165,-0.003534,0.155847,-0.729889,0.068572,0.733042,
Z Velocity[A/fs],-0.000592,0.005498,0.001687,-0.000381,0.010130,0.033123,0.056613,0.091923,
Speed[A/fs],0.109860,0.155602,0.152605,0.187270,0.159418,0.760122,0.765016,0.739795,
,,,,,,,,,
isoxazole_14r29, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.905757615547973, 3.989590018331548, 2.658480282444867, 2.356172683222801, 2.515617403778728, 0.000180865383637889, 0.0001234465970844557, 0.000109089975445373, 
Time[fs], 77.500000, 77.500000, 77.500000, 76.000000, 76.000000, 31.000000, 31.500000, 30.500000, 
Density Sum, 16.42603140528208,,,,,,,,
X Velocity[A/fs],-0.105075,-0.097701,-0.001252,0.194030,0.023705,0.161531,0.758847,0.101332,
Y Velocity[A/fs],0.033346,-0.088960,-0.149690,-0.001431,0.175238,-0.735060,0.102619,0.739335,
Z Velocity[A/fs],-0.000962,0.000691,-0.001514,0.001808,-0.010660,0.048727,0.024461,-0.097832,
Speed[A/fs],0.110244,0.132136,0.149703,0.194043,0.177156,0.754175,0.766144,0.752632,
,,,,,,,,,
isoxazole_14r3, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.772205884625166, 3.740017405387574, 2.601727744081767, 2.580517490393272, 2.369203387587243, 0.0001920835995093277, 0.0003063550370720178, 9.204056375550625e-05, 
Time[fs], 90.500000, 90.500000, 82.500000, 76.500000, 71.000000, 31.000000, 30.500000, 31.500000, 
Density Sum, 16.06426239127536,,,,,,,,
X Velocity[A/fs],-0.110594,-0.120379,0.032256,0.190803,0.019304,0.168769,0.777970,0.304664,
Y Velocity[A/fs],-0.001920,-0.101076,-0.160802,-0.000330,0.191820,-0.741537,0.015874,0.703396,
Z Velocity[A/fs],0.000839,0.002644,-0.002837,-0.000916,-0.010238,0.051319,-0.015196,-0.116426,
Speed[A/fs],0.110614,0.157208,0.164029,0.190805,0.193060,0.762229,0.778280,0.775332,
,,,,,,,,,
isoxazole_14r30, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.83273920384433, 3.964466987012674, 2.424599760706764, 2.526564773694203, 2.522991410706851, 0.000236655962259083, 0.0004804924945002237, 0.0001865716881456727, 
Time[fs], 77.000000, 77.000000, 77.000000, 75.500000, 75.500000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.27226585610973,,,,,,,,
X Velocity[A/fs],-0.113209,-0.114930,0.047747,0.195522,0.021371,0.175340,0.773991,0.122771,
Y Velocity[A/fs],0.036072,-0.093935,-0.152256,0.007093,0.176575,-0.741715,0.010888,0.752020,
Z Velocity[A/fs],0.000005,0.005639,0.001100,-0.003265,-0.006730,-0.003521,-0.042740,-0.077315,
Speed[A/fs],0.118817,0.148541,0.159571,0.195678,0.177991,0.762166,0.775246,0.765888,
,,,,,,,,,
isoxazole_14r4, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7],  
Densities, 4.846604375093835, 3.888751955183873, 2.681106559291853, 2.542864860216664, 2.580605051579501, 0.0001255443791179606, 0.0001803980993918335, 9.286564865353097e-05, 
Time[fs], 90.500000, 90.500000, 86.000000, 81.500000, 82.500000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.54033160949289,,,,,,,,
X Velocity[A/fs],-0.108456,-0.105487,0.036449,0.177606,0.022865,0.057377,0.759413,0.112510,
Y Velocity[A/fs],0.054016,-0.079140,-0.148377,0.013160,0.159142,-0.745492,0.062970,0.748504,
Z Velocity[A/fs],-0.000773,0.000330,0.001749,-0.001430,0.000307,-0.068833,-0.024881,-0.023430,
Speed[A/fs],0.121165,0.131874,0.152798,0.178098,0.160777,0.750858,0.762425,0.757275,
,,,,,,,,,
isoxazole_14r5, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.801157807223432, 3.864202725489823, 2.619370816595031, 2.36833726642242, 2.537090918987001, 0.0001348172412159769, 0.0004122905862667564, 0.0002000395692861806, 
Time[fs], 104.000000, 104.000000, 82.000000, 77.000000, 73.500000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.19090668211447,,,,,,,,
X Velocity[A/fs],-0.093562,-0.093072,0.032502,0.191531,0.010885,0.190722,0.766829,0.156217,
Y Velocity[A/fs],0.032403,-0.086688,-0.159111,0.000489,0.183204,-0.735963,0.032408,0.727240,
Z Velocity[A/fs],-0.000774,0.001545,-0.003400,-0.000383,0.014861,-0.058664,0.035661,0.101543,
Speed[A/fs],0.099017,0.127199,0.162432,0.191532,0.184128,0.762534,0.768342,0.750728,
,,,,,,,,,
isoxazole_14r6, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.757479784831355, 3.781145391280769, 2.628578746200901, 2.447478638537782, 2.498274050871268, 0.0003356139539386898, 0.0006893191299637354, 0.0002723643182833216, 
Time[fs], 97.000000, 105.000000, 78.500000, 79.000000, 71.000000, 31.000000, 30.500000, 31.000000, 
Density Sum, 16.11425390912427,,,,,,,,
X Velocity[A/fs],-0.118123,-0.111839,0.039413,0.181959,0.033644,0.103379,0.775670,0.154687,
Y Velocity[A/fs],0.034573,-0.070560,-0.169164,-0.005390,0.189443,-0.750463,-0.002747,0.759741,
Z Velocity[A/fs],0.004628,0.001164,0.002309,-0.000836,0.008632,-0.041496,-0.030243,0.084208,
Speed[A/fs],0.123165,0.132242,0.173710,0.182041,0.192601,0.758686,0.776264,0.779888,
,,,,,,,,,
isoxazole_14r7, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7],  
Densities, 4.852876987598281, 3.934908484028897, 2.607750899782177, 2.620361633878421, 2.233552409692289, 0.0001901679600264555, 0.0003052289090878828, 0.0001370525271375644, 
Time[fs], 104.500000, 104.500000, 83.500000, 78.500000, 73.000000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.25008286437632,,,,,,,,
X Velocity[A/fs],-0.092543,-0.111550,0.033556,0.183969,0.018208,0.143503,0.762572,0.135099,
Y Velocity[A/fs],0.045348,-0.079942,-0.153040,-0.000927,0.188892,-0.743200,0.023535,0.750849,
Z Velocity[A/fs],-0.000378,0.004236,-0.002299,0.000478,-0.009329,-0.028160,0.073837,0.032564,
Speed[A/fs],0.103058,0.137302,0.156692,0.183972,0.189996,0.757451,0.766500,0.763601,
,,,,,,,,,
isoxazole_14r8, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 5.013849771303727, 3.737293744180402, 2.588077325700023, 2.702793655114604, 2.366025750107413, 0.0002977544952806398, 0.0005220984967497903, 0.0002955507791090741, 
Time[fs], 104.000000, 102.500000, 93.000000, 76.000000, 81.500000, 31.500000, 31.000000, 31.500000, 
Density Sum, 16.40915565017731,,,,,,,,
X Velocity[A/fs],-0.090242,-0.122843,0.033156,0.191915,0.022316,0.181664,0.777678,0.144980,
Y Velocity[A/fs],0.037570,-0.099190,-0.133282,0.005964,0.165511,-0.720141,0.041765,0.745093,
Z Velocity[A/fs],-0.003599,0.001749,-0.001230,0.002646,0.002202,0.012817,-0.007470,0.049393,
Speed[A/fs],0.097816,0.157900,0.137350,0.192026,0.167023,0.742812,0.778835,0.760673,
,,,,,,,,,
isoxazole_14r9, O[0], N[1], C[2], C[3], C[4], H[5], H[6], H[7], 
Densities, 4.833266603439302, 3.757499154009387, 2.64089846140328, 2.362255137946107, 2.69486002750383, 0.0002080211941308157, 0.0002978121266472227, 7.578844531979284e-05, 
Time[fs], 91.000000, 91.000000, 86.000000, 78.000000, 76.000000, 31.000000, 31.000000, 31.000000, 
Density Sum, 16.289361006068,,,,,,,,
X Velocity[A/fs],-0.091000,-0.119149,0.036762,0.188964,0.008698,0.136554,0.765988,0.112365,
Y Velocity[A/fs],0.043312,-0.094057,-0.148491,0.003537,0.174077,-0.744778,0.025833,0.738609,
Z Velocity[A/fs],0.004720,-0.003518,0.003423,0.000017,-0.008868,0.027963,0.012869,-0.080104,
Speed[A/fs],0.100892,0.151841,0.153012,0.188997,0.174519,0.757709,0.766532,0.751389,
,,,,,,,,,
