r_seed=1,   C,   C,   C,   C,   H,   H,   H,   H,   H,   H,   H,   H,   H,   H,  
Charges,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,   14.0000000000, 
X Velocity[A/fs],  -0.106837,  -0.061560,   0.056097,   0.104034,  -0.197992,  -0.439921,  -0.954303,  -0.155015,  -0.521314,   0.510170,   0.173259,   0.229291,   0.494926,   0.952858,  
Y Velocity[A/fs],  -0.068109,   0.091119,   0.075221,  -0.067719,  -0.920423,  -0.215895,  -0.098221,   0.272495,   0.870664,   0.877376,   0.260017,  -0.937948,  -0.176954,  -0.077455, 
Z Velocity[A/fs],   0.025582,  -0.070916,   0.076841,  -0.034335,  -0.265569,   0.861614,  -0.280215,  -0.975433,   0.073780,  -0.109902,   0.971380,   0.255248,  -0.844269,   0.298948,  
Speed[A/fs],   0.129257,   0.130849,   0.121283,   0.128794,   0.978215,   0.991221,   0.999431,   1.024574,   1.017481,   1.020853,   1.020395,   0.998735,   0.994512,   1.001653,  
 
r_seed=2,   C,   C,   C,   C,   H,   H,   H,   H,   H,   H,   H,   H,   H,   H,  
Charges,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,   14.0000000000, 
X Velocity[A/fs],  -0.110336,  -0.057870,   0.060391,   0.092499,  -0.193985,  -0.461791,  -0.959103,  -0.141093,  -0.531171,   0.515425,   0.187143,   0.263390,   0.509312,   0.956471,  
Y Velocity[A/fs],  -0.069047,   0.082107,   0.087129,  -0.083879,  -0.939303,  -0.218548,  -0.105815,   0.243718,   0.853353,   0.867617,   0.259301,  -0.935074,  -0.203627,  -0.068951, 
Z Velocity[A/fs],   0.020057,  -0.077967,   0.066212,  -0.010602,  -0.221720,   0.862280,  -0.242881,  -0.982169,   0.119667,  -0.120731,   0.964507,   0.245066,  -0.831975,   0.291031,  
Speed[A/fs],   0.131696,   0.127159,   0.124990,   0.125316,   0.984418,   1.002268,   0.995021,   1.021745,   1.012262,   1.016364,   1.016136,   1.001895,   0.996516,   1.002143,  
 
r_seed=3,   C,   C,   C,   C,   H,   H,   H,   H,   H,   H,   H,   H,   H,   H,  
Charges,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,   14.0000000000, 
X Velocity[A/fs],  -0.112047,  -0.057989,   0.068031,   0.104429,  -0.194043,  -0.492063,  -0.943238,  -0.158180,  -0.547510,   0.532749,   0.152342,   0.193281,   0.496158,   0.954588,  
Y Velocity[A/fs],  -0.066559,   0.082515,   0.085220,  -0.077804,  -0.914939,  -0.224686,  -0.083603,   0.239899,   0.854241,   0.866528,   0.255606,  -0.916760,  -0.172411,  -0.066571, 
Z Velocity[A/fs],   0.027711,  -0.062720,   0.063075,  -0.021982,  -0.313679,   0.852300,  -0.288050,  -0.977503,   0.088236,  -0.056218,   0.971000,   0.322588,  -0.853017,   0.277953,  
Speed[A/fs],   0.133239,   0.118765,   0.125973,   0.132068,   0.986489,   1.009468,   0.989778,   1.018864,   1.018470,   1.018750,   1.015571,   0.990894,   1.001767,   0.996457,  
 
r_seed=4,   C,   C,   C,   C,   H,   H,   H,   H,   H,   H,   H,   H,   H,   H,  
Charges,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,   14.0000000000, 
X Velocity[A/fs],  -0.111558,  -0.063216,   0.064645,   0.104099,  -0.185523,  -0.448681,  -0.949743,  -0.160808,  -0.472898,   0.508095,   0.166371,   0.243028,   0.454458,   0.957309,  
Y Velocity[A/fs],  -0.070906,   0.070426,   0.086469,  -0.077435,  -0.941732,  -0.160188,  -0.141292,   0.243896,   0.895887,   0.874323,   0.239346,  -0.921583,  -0.176963,  -0.030124, 
Z Velocity[A/fs],   0.031252,  -0.074229,   0.053206,  -0.030056,  -0.253906,   0.866561,  -0.264289,  -0.981576,   0.086036,  -0.136567,   0.970665,   0.295184,  -0.874270,   0.271681,  
Speed[A/fs],   0.135829,   0.120275,   0.120361,   0.133177,   0.992848,   0.988890,   0.995904,   1.024127,   1.016685,   1.020418,   1.013487,   0.997753,   1.001097,   0.995569,  
 
r_seed=5,   C,   C,   C,   C,   H,   H,   H,   H,   H,   H,   H,   H,   H,   H,  
Charges,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,   14.0000000000, 
X Velocity[A/fs],  -0.106138,  -0.054680,   0.067125,   0.089979,  -0.215940,  -0.506812,  -0.950942,  -0.181618,  -0.466846,   0.527798,   0.126620,   0.244726,   0.509460,   0.947210,  
Y Velocity[A/fs],  -0.065371,   0.089346,   0.088641,  -0.081298,  -0.942522,  -0.138324,  -0.085850,   0.236575,   0.907468,   0.866164,   0.223627,  -0.940908,  -0.179569,  -0.068346, 
Z Velocity[A/fs],   0.019383,  -0.075426,   0.068330,  -0.023106,  -0.211964,   0.846994,  -0.271519,  -0.976973,   0.089664,  -0.076531,   0.979968,   0.247550,  -0.836853,   0.293159,  
Speed[A/fs],   0.126152,   0.129080,   0.130507,   0.123448,   0.989903,   0.996690,   0.992665,   1.021484,   1.024443,   1.017186,   1.013104,   1.003235,   0.996051,   0.993891,  
 
r_seed=6,   C,   C,   C,   C,   H,   H,   H,   H,   H,   H,   H,   H,   H,   H,  
Charges,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,   14.0000000000, 
X Velocity[A/fs],  -0.110854,  -0.058701,   0.059077,   0.095873,  -0.215319,  -0.479621,  -0.952026,  -0.119543,  -0.484645,   0.510262,   0.173712,   0.231448,   0.473845,   0.952024,  
Y Velocity[A/fs],  -0.064750,   0.075804,   0.087461,  -0.073278,  -0.941067,  -0.138241,  -0.045241,   0.271821,   0.890675,   0.872872,   0.202356,  -0.917121,  -0.232512,  -0.091834, 
Z Velocity[A/fs],   0.037470,  -0.076614,   0.074090,  -0.028295,  -0.227430,   0.858495,  -0.292923,  -0.971302,   0.106615,  -0.091347,   0.993245,   0.285507,  -0.851091,   0.284778,  
Speed[A/fs],   0.133735,   0.122726,   0.128953,   0.123943,   0.991813,   0.993056,   0.997098,   1.015679,   1.019583,   1.015193,   1.028426,   0.988025,   1.001472,   0.997939,  
 
r_seed=7,   C,   C,   C,   C,   H,   H,   H,   H,   H,   H,   H,   H,   H,   H,  
Charges,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,   14.0000000000, 
X Velocity[A/fs],  -0.105346,  -0.057775,   0.062583,   0.103759,  -0.201364,  -0.482835,  -0.960450,  -0.177962,  -0.504068,   0.484917,   0.158813,   0.192878,   0.427421,   0.968038,  
Y Velocity[A/fs],  -0.075898,   0.071442,   0.091185,  -0.079149,  -0.926874,  -0.152497,  -0.047840,   0.273553,   0.878444,   0.886980,   0.207950,  -0.934537,  -0.214348,  -0.064787, 
Z Velocity[A/fs],   0.026667,  -0.076602,   0.060980,  -0.006738,  -0.310624,   0.858500,  -0.261323,  -0.965689,   0.114494,  -0.078056,   0.982598,   0.318190,  -0.860842,   0.230809,  
Speed[A/fs],   0.132550,   0.119624,   0.126292,   0.130674,   0.998064,   0.996698,   0.996515,   1.019341,   1.019244,   1.013889,   1.016840,   1.005886,   0.984725,   0.997281,  
 
r_seed=8,   C,   C,   C,   C,   H,   H,   H,   H,   H,   H,   H,   H,   H,   H,  
Charges,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,   14.0000000000, 
X Velocity[A/fs],  -0.102965,  -0.063768,   0.065532,   0.097151,  -0.226608,  -0.499261,  -0.962232,  -0.180771,  -0.483514,   0.494612,   0.193233,   0.236438,   0.435016,   0.960717,  
Y Velocity[A/fs],  -0.081252,   0.082408,   0.076695,  -0.086031,  -0.930449,  -0.140979,  -0.072386,   0.284361,   0.889226,   0.880881,   0.204499,  -0.948180,  -0.140664,  -0.073252, 
Z Velocity[A/fs],   0.018556,  -0.063635,   0.066360,  -0.027482,  -0.252076,   0.850046,  -0.266778,  -0.963425,   0.077477,  -0.083405,   0.978926,   0.261145,  -0.878296,   0.240955,  
Speed[A/fs],   0.132469,   0.122094,   0.120748,   0.132646,   0.990267,   0.995848,   1.001150,   1.020650,   1.015141,   1.013680,   1.018556,   1.011506,   0.990166,   0.993178,  
 
r_seed=9,   C,   C,   C,   C,   H,   H,   H,   H,   H,   H,   H,   H,   H,   H,  
Charges,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,   14.0000000000, 
X Velocity[A/fs],  -0.103315,  -0.061342,   0.063851,   0.095159,  -0.201053,  -0.455137,  -0.954329,  -0.181803,  -0.517641,   0.524640,   0.174525,   0.242929,   0.465969,   0.956452,  
Y Velocity[A/fs],  -0.069862,   0.084823,   0.079253,  -0.080188,  -0.917912,  -0.187300,  -0.074597,   0.191243,   0.864541,   0.859273,   0.203980,  -0.940955,  -0.218894,  -0.062606, 
Z Velocity[A/fs],   0.038848,  -0.072846,   0.068451,  -0.032214,  -0.305647,   0.871608,  -0.254437,  -0.986942,   0.126503,  -0.146820,   0.982567,   0.267363,  -0.851478,   0.259454,  
Speed[A/fs],   0.130629,   0.127532,   0.122652,   0.128542,   0.988132,   1.000965,   0.990478,   1.021607,   1.015572,   1.017425,   1.018580,   1.007916,   0.995015,   0.992993,  
 
r_seed=10,   C,   C,   C,   C,   H,   H,   H,   H,   H,   H,   H,   H,   H,   H,  
Charges,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,   14.0000000000, 
X Velocity[A/fs],  -0.103986,  -0.068267,   0.052662,   0.100361,  -0.209197,  -0.492408,  -0.956122,  -0.123249,  -0.526144,   0.512588,   0.120272,   0.222363,   0.481245,   0.957003,  
Y Velocity[A/fs],  -0.075474,   0.082183,   0.075295,  -0.086425,  -0.923839,  -0.192867,  -0.090364,   0.277562,   0.863751,   0.876750,   0.231011,  -0.946547,  -0.166529,  -0.075128, 
Z Velocity[A/fs],   0.027742,  -0.080699,   0.060935,  -0.009253,  -0.293856,   0.845208,  -0.281884,  -0.980822,   0.093392,  -0.059758,   0.973931,   0.240076,  -0.852274,   0.265784,  
Speed[A/fs],   0.131449,   0.133890,   0.110253,   0.132768,   0.991762,   0.997015,   1.000896,   1.026764,   1.015685,   1.017354,   1.008153,   1.001515,   0.992824,   0.996063,  
 
